keyword,Is it man-made?,Is it used outdoors?,Is it something you can find in a bathroom?,Is it something people wear?,Is it something that can be eaten?,Is it something that has wheels?,Is it something that has a screen?,Is it something that has a smell?,Is it an animal?,Is it something that requires electricity or batteries?,Is it something that can use to contain or for storage?,"Is it something related to construction, buildings, or architecture?","Is it something related to medical, such as medicines, medical equipments or facilities?",Is it a plant?,Is it a microorganism?,Is it unicellular?,Is it an invertebrate?,Is it a bird?,Is it a fish?,Is it a flowering plant?,Is it an aquatic organism?,Is it an arboreal organism?,Is it nocturnal?,Is it a herbivore?,Is it an omnivore?,Is it wild?,Is it a keystone species?,Is it a scavenger?,Is it a producer?,Is it a secondary consumer?,Is it a marine organism?,Is it a desert organism?,Is it a grassland organism?,Is it found in tropical regions?,Is it found in warm climates?,Is it migratory?,Is it known for its speed?,Is it known for its intelligence?,Is it known for its longevity?,Is it symbiotic?,Is it social?,Is it a climber?,Is it a pollinator?,Is it venomous?,Is it an egg-layer?,Is it hermaphroditic?,Is it viviparous?,Is it ovoviviparous?,Is it capable of regeneration?,Is it used in medicine?,Is it considered a pest?,Is it smaller than a soccer ball?,Is it worn on the lower body?,Is it worn on the feet?,Is it worn around the neck?,Is it worn as outerwear?,Is it a type of footwear?,Is it typically worn indoors?,Is it worn in formal settings?,Is it worn for special occasions?,Is it worn for sports or exercise?,Is it worn for fashion?,Is it worn to keep cool?,Is it worn as a costume?,Is it worn by women?,Is it unisex?,Is it made of fabric?,Is it made of metal?,Is it made of synthetic materials?,Is it colorful?,Is it typically worn in the summer?,Is it typically worn in the spring?,Is it worn for swimming?,Is it worn for lounging?,Is it worn for construction work?,Is it worn by entertainers?,Is it worn by military personnel?,Is it worn by doctors or nurses?,Is it worn by musicians?,Is it worn by dancers?,Is it worn for weddings?,Is it worn for family gatherings?,Is it worn for vacations?,Is it available in stores?,Is it mass-produced?,Is it a household item?,Is it a type of tool?,Is it portable?,Is it commonly found in an office?,Is it used for personal grooming?,Is it used for security?,Is it bigger than a microwave oven?,Is it used in a car?,Is it used for lighting?,Is it used for cooling?,Is it a musical instrument?,Is it used for gaming?,Is it used for video recording?,Is it used for measuring?,Is it used in construction?,Is it used in healthcare?,Is it a type of vehicle?,Is it used in the arts?,Is it used in manufacturing?,Is it used in hospitality?,Is it used in transportation?,Is it used for communication over the internet?,Is it used for networking?,Is it used for home automation?,Is it used for hair care?,Is it used for entertainment on-the-go?,Is it used for writing?,Is it used for music production?,Is it used for sound recording?,Is it used for broadcasting?,Is it used for live streaming?,Is it used for coding?,Is it used for robotics?,Is it used for space exploration?,Is it used for disaster response?,Is it used for therapy?,Is it liquid?,Is it typically served cold?,Is it savory?,Is it a vegetable?,Is it an ingredient?,Is it meat-based?,Is it commonly eaten for lunch?,Is it a snack?,Is it something you usually eat with a utensil?,Is it something that is often canned?,Is it something that is often fresh?,Is it something that is typically cooked?,Is it something that is often used in cooking?,Is it something that is usually mild?,Is it something that is usually soft?,Is it something that is often fermented?,Is it something that is commonly found in a refrigerator?,Is it something that is commonly found in a dessert?,Is it something that is commonly found in a sandwich?,Is it something that is typically eaten with other foods?,Is it something that is often associated with a specific culture?,Is it something that can be found in multiple colors?,Is it something that is known for its texture?,Is it something that is usually served on a plate?,Is it something that is usually served in a cup?,Is it a facility?,Is it a place to go?,Is it an object?,Is it tangible?,Is it made of metal,Is it made of metal.1,Is it a collective noun rather than a compound noun?,Is it a common noun rather than a proper noun?,"Is it a verbal noun which often ends in -ing (e.g., swimming, reading)?",Is it countable?,Is it gender-specific?,Is it a concrete noun rather than an abstract noun?,Is it a device?,Is it a plant name?
Advertisement,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Agave,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
Air Conditioner,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0
Air compressor,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0
Air filter,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0
Air vent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0
Alarm system,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0
Analogy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anemone,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
Anesthesia,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
